Time,OriginalSignal,NoisySignal,FaultySignal,FaultDetected
0,0,0.464361535568228,0.464361535568228,0
0.001,0.309016994374947,0.124025970697087,0.124025970697087,1
0.002,0.587785252292473,0.37821396360052,0.37821396360052,1
0.003,0.809016994374947,0.381938469136087,0.381938469136087,1
0.004,0.951056516295154,0.918166808103421,0.918166808103421,0
0.005,1,0.969186367320393,0.969186367320393,0
0.006,0.951056516295154,0.854241534987931,0.854241534987931,0
0.007,0.809016994374947,0.557140778322821,0.557140778322821,0
0.008,0.587785252292473,0.0896199506839628,0.0896199506839628,1
0.009,0.309016994374947,1.21276296627078,1.21276296627078,0
0.01,1.22464679914735e-16,0.450252138874235,0.450252138874235,0
0.011,-0.309016994374947,-0.41671448199821,-0.41671448199821,0
0.012,-0.587785252292473,-0.622249051127948,-0.622249051127948,0
0.013,-0.809016994374948,-0.701346650509116,-0.701346650509116,0
0.014,-0.951056516295154,-0.954697722649862,-0.954697722649862,0
0.015,-1,-1.17110792829931,-1.17110792829931,0
0.016,-0.951056516295154,-0.670846085443072,-0.670846085443072,0
0.017,-0.809016994374947,-1.15051203243365,-1.15051203243365,0
0.018,-0.587785252292473,-0.00061379393449057,-0.00061379393449057,1
0.019,-0.309016994374948,-0.837985835488572,-0.837985835488572,0
0.02,-2.44929359829471e-16,-0.0970002989539551,-0.0970002989539551,1
0.021,0.309016994374948,0.570794652171646,0.570794652171646,0
0.022,0.587785252292473,0.62315986949353,0.62315986949353,0
0.023,0.809016994374947,0.35810055590195,0.35810055590195,1
0.024,0.951056516295154,1.22760708222997,1.22760708222997,0
0.025,1,1.04897347394451,1.04897347394451,0
0.026,0.951056516295153,0.706655264648164,0.706655264648164,0
0.027,0.809016994374948,0.930130020957113,0.930130020957113,0
0.028,0.587785252292473,0.814632474552948,0.814632474552948,0
0.029,0.309016994374948,0.964348899032648,0.964348899032648,0
0.03,3.67394039744206e-16,-0.0281347630970751,-0.0281347630970751,1
0.031,-0.309016994374947,-0.397278821069944,-0.397278821069944,1
0.032,-0.587785252292473,-0.739226930603969,-0.739226930603969,0
0.033,-0.809016994374948,-1.38711669803478,-1.38711669803478,0
0.034,-0.951056516295154,-0.794642316141879,-0.794642316141879,0
0.035,-1,-1.61632335215219,-1.61632335215219,0
0.036,-0.951056516295153,-1.03200776989238,-1.03200776989238,0
0.037,-0.809016994374948,-0.891526611771112,-0.891526611771112,0
0.038,-0.587785252292473,-0.334241826441031,-0.334241826441031,1
0.039,-0.309016994374948,-1.14037142569583,-1.14037142569583,0
0.04,-4.89858719658941e-16,0.275422472616817,0.275422472616817,1
0.041,0.309016994374949,0.153240691231342,0.153240691231342,1
0.042,0.587785252292474,0.199881602418009,0.199881602418009,1
0.043,0.809016994374948,0.806401566572468,0.806401566572468,0
0.044,0.951056516295153,1.02106232055446,1.02106232055446,0
0.045,1,0.872741290210965,0.872741290210965,0
0.046,0.951056516295154,0.510221913515629,0.510221913515629,0
0.047,0.809016994374948,1.17094308921484,1.17094308921484,0
0.048,0.587785252292472,0.646987918734636,0.646987918734636,0
0.049,0.309016994374946,0.0969543356231537,0.0969543356231537,1
0.05,-1.16403343982657e-15,0.364910177915007,0.364910177915007,1
0.051,-0.309016994374949,-0.19886586811534,-0.19886586811534,1
0.052,-0.587785252292475,-0.968039921146233,-0.968039921146233,0
0.053,-0.809016994374948,-0.622701973178347,-0.622701973178347,0
0.054,-0.951056516295153,-1.48969289521252,-1.48969289521252,0
0.055,-1,-1.31735184317545,-1.31735184317545,0
0.056,-0.951056516295154,-0.90559317186048,-0.90559317186048,0
0.057,-0.809016994374947,-0.685637773913643,-0.685637773913643,0
